mir	20127_1_1	20127_1_2	20127_1_3	20127_1_4	20127_1_5	20127_1_6
hsa-mir-1257	12	16	54	15	31	4
hsa-mir-892a	0	0	0	0	1	1
hsa-mir-6749-3p	0	1	6	1	1	2
hsa-mir-4680-3p	0	0	0	1	0	1
hsa-mir-181d-5p	1025	975	1677	973	1242	1019
hsa-mir-1269a	96	59	103	82	82	63
hsa-mir-330-3p	148	248	394	238	300	102
hsa-mir-6784-5p	1	0	0	0	0	0
hsa-mir-194-3p	7	15	15	11	7	20
hsa-mir-578	3	1	2	1	4	1
hsa-mir-1323	0	1	5	2	1	1
hsa-mir-3913-3p	1	3	0	0	0	0
hsa-mir-6803-3p	5	2	8	3	4	2
hsa-mir-5089-3p	0	1	0	2	0	0
hsa-mir-4762-3p	0	1	0	0	0	0
hsa-mir-4689	2	7	2	4	1	10
hsa-mir-3605-5p	13	10	33	16	15	17
hsa-mir-3140-5p	0	0	0	0	2	0
hsa-mir-4538	1	0	0	0	1	0
hsa-mir-6768-3p	0	0	0	0	0	1
hsa-mir-450a-2-3p	0	5	2	1	2	4
hsa-mir-92b-3p	62386	61247	103076	71629	77006	61753
hsa-mir-3682-3p	0	0	2	0	0	1
hsa-mir-7114-3p	0	1	1	0	0	0
hsa-mir-7113-3p	0	0	0	1	1	0
hsa-mir-4725-3p	2	3	20	5	2	7
hsa-mir-548k	446	582	921	565	623	584
hsa-mir-4662b	0	0	0	0	1	0
hsa-mir-548an	0	0	0	0	1	0
hsa-mir-219a-5p	3	3	7	1	7	2
hsa-mir-6824-3p	0	0	1	5	0	2
hsa-mir-210-3p	146875	170759	427931	2833	4132	2081
hsa-mir-147b	8	11	15	8	7	12
hsa-mir-589-3p	362	447	909	370	471	508
hsa-mir-6827-3p	2	5	0	1	0	0
hsa-mir-126-3p	308	281	717	326	331	317
hsa-mir-3190-5p	0	1	1	1	4	2
hsa-mir-483-3p	21	14	25	14	22	8
hsa-mir-182-5p	282783	301118	582785	315496	387244	355076
hsa-mir-6775-3p	2	0	3	0	2	2
hsa-mir-6793-5p	1	0	4	2	0	6
hsa-mir-130b-3p	2705	2485	4388	2175	2766	2650
hsa-mir-29a-3p	556	534	1284	446	610	567
hsa-mir-1238-5p	0	0	1	1	0	0
hsa-mir-320c	28	28	73	36	40	37
hsa-mir-197-3p	1148	1105	2128	1225	1230	1399
hsa-mir-5006-5p	0	0	0	2	0	0
hsa-mir-4668-3p	0	0	2	0	1	1
hsa-mir-518d-5p	1	0	0	0	1	0
hsa-mir-1911-5p	9	11	16	5	14	10
hsa-mir-6865-3p	0	0	1	0	0	0
hsa-mir-656-3p	1	1	0	0	0	0
hsa-mir-3126-3p	1	0	2	0	0	0
hsa-mir-6818-3p	0	0	2	0	2	0
hsa-mir-664b-3p	19	26	36	19	26	23
hsa-mir-4713-5p	46	54	78	39	54	40
hsa-mir-1296-3p	1	0	2	2	1	0
hsa-mir-6797-3p	7	3	13	4	5	4
hsa-mir-8082	0	0	0	1	1	1
hsa-mir-125b-2-3p	540	629	992	649	817	686
hsa-mir-6772-3p	0	0	1	0	0	0
hsa-mir-143-5p	0	0	0	0	2	1
hsa-mir-1284	7	12	51	12	8	6
hsa-mir-4798-5p	1	0	1	1	0	0
hsa-mir-6079	0	0	0	1	0	2
hsa-let-7i-5p	31010	29681	53424	29785	36123	32317
hsa-mir-3129-3p	0	0	1	0	0	0
hsa-mir-129-1-3p	0	1	0	0	0	0
hsa-mir-98-5p	23906	25757	47187	23291	28486	28593
hsa-mir-665	1	1	0	1	0	0
hsa-mir-539-3p	4	1	1	2	2	2
hsa-mir-3682-5p	0	0	2	0	0	1
hsa-mir-4639-5p	0	0	0	3	0	0
hsa-mir-3622b-3p	0	1	1	0	2	0
hsa-mir-7151-5p	0	2	1	0	1	0
hsa-mir-3196	55	62	30	113	125	19
hsa-mir-3169	0	0	0	0	0	1
hsa-mir-5090	2	1	6	2	4	1
hsa-mir-3200-5p	4	7	18	5	15	3
hsa-mir-4523	14	7	19	6	23	19
hsa-mir-1279	0	1	0	0	0	0
hsa-mir-8055	0	0	1	0	0	0
hsa-mir-3923	5	2	5	2	0	2
hsa-mir-301a-3p	9612	9938	19146	9886	11371	11329
hsa-mir-6515-3p	0	0	0	0	0	1
hsa-mir-5000-5p	0	1	0	0	0	0
hsa-mir-4749-3p	1	1	1	0	0	2
hsa-mir-4795-5p	0	2	0	0	0	0
hsa-mir-3664-3p	23	43	60	32	56	39
hsa-mir-505-5p	51	30	107	46	49	40
hsa-mir-6893-5p	0	4	4	4	1	4
hsa-mir-3187-3p	62	60	148	51	86	101
