Gene	LogFC	V4	m210_1
ELOVL6	0.791907167	ensembl_havana	protein_coding
MEIS1	0.791826431	ensembl_havana	protein_coding
FBXL5	0.789948644	ensembl_havana	protein_coding
FER	0.789224217	ensembl_havana	protein_coding
ABLIM3	0.78898575	ensembl_havana	protein_coding
SLC30A4	0.788466514	ensembl_havana	protein_coding
LRRC46	0.787869823	ensembl_havana	protein_coding
MPLKIP	0.786464529	ensembl_havana	protein_coding
TRIM6	0.785957052	ensembl_havana	protein_coding
ZNF140	0.785500222	ensembl_havana	protein_coding
RMND1	0.785357464	ensembl_havana	protein_coding
GLT8D1	0.785356417	ensembl_havana	protein_coding
ZNF165	0.785100171	ensembl_havana	protein_coding
MB21D2	0.783617399	ensembl_havana	protein_coding
ADGRF4	0.783481065	ensembl_havana	protein_coding
MICU1	0.783021737	ensembl_havana	protein_coding
BAG4	0.782202717	ensembl_havana	protein_coding
KIAA1715	0.781887447	ensembl_havana	protein_coding
HERC3	0.781302205	ensembl_havana	protein_coding
CENPC	0.781279159	ensembl_havana	protein_coding
CAPZA2	0.781069394	ensembl_havana	protein_coding
BRINP3	0.781026606	ensembl_havana	protein_coding
PIAS1	0.7802451	ensembl_havana	protein_coding
BUB1	0.779282618	ensembl_havana	protein_coding
FSD1L	0.77846999	ensembl_havana	protein_coding
ZNF669	0.77794954	ensembl_havana	protein_coding
AASS	0.77768582	ensembl_havana	protein_coding
CENPO	0.77740519	ensembl_havana	protein_coding
MED20	0.776809242	ensembl_havana	protein_coding
ZNF311	0.776381636	ensembl_havana	protein_coding
PPP1R15B	0.77619131	ensembl_havana	protein_coding
FMN1	0.775111626	ensembl_havana	protein_coding
GKAP1	0.775053576	ensembl_havana	protein_coding
SYTL5	0.774890153	ensembl_havana	protein_coding
CMSS1	0.774572471	ensembl_havana	protein_coding
MITD1	0.774371297	ensembl_havana	protein_coding
FILIP1L	0.773961801	ensembl_havana	protein_coding
EXPH5	0.773810777	ensembl_havana	protein_coding
FANCL	0.773647004	ensembl_havana	protein_coding
HEATR6	0.772805829	ensembl_havana	protein_coding
SEC23IP	0.772620834	ensembl_havana	protein_coding
FAM69A	0.769664422	ensembl_havana	protein_coding
FBXO3	0.76843607	ensembl_havana	protein_coding
EFTUD1	0.767149518	ensembl_havana	protein_coding
CTNND1	0.766104308	ensembl_havana	protein_coding
TMEM161B	0.765916009	ensembl_havana	protein_coding
DOLPP1	0.765698658	ensembl_havana	protein_coding
