	mt1.lane.clean.uniquified.fa.gz	mt2.lane.clean.uniquified.fa.gz	mt3.lane.clean.uniquified.fa.gz	wt1.lane.clean.uniquified.fa.gz	wt2.lane.clean.uniquified.fa.gz	wt3.lane.clean.uniquified.fa.gz
mmu-mir-337-5p	536	149	422	192	164	86
mmu-mir-483-3p	20	3	12	7	531	6
mmu-mir-669b-3p	17	54	1	37	513	5
mmu-mir-351-3p	278	222	133	487	512	275
mmu-mir-501-5p	107	81	34	511	179	47
mmu-mir-1968-5p	455	230	117	508	309	254
mmu-mir-297a-2-3p	28	65	20	72	508	30
mmu-mir-5128-3p	75	77	34	506	145	87
mmu-mir-365-1-5p	345	143	68	427	506	144
mmu-mir-320-5p	451	308	108	494	308	415
mmu-mir-33-3p	248	121	78	405	493	128
mmu-mir-124-3-5p	492	191	138	410	244	148
mmu-mir-1843a-3p	175	104	49	485	128	192
mmu-mir-1195-5p	480	144	57	354	227	106
mmu-mir-1968-3p	415	220	113	473	268	230
mmu-mir-703-5p	458	306	85	169	410	305
mmu-mir-126-5p	125	69	41	222	456	60
mmu-mir-483-5p	9	1	9	4	455	0
mmu-mir-669m-2-3p	18	19	7	20	449	4
mmu-mir-486-3p	40	148	124	449	58	180
mmu-mir-670-3p	323	220	96	444	379	111
mmu-mir-190b-5p	199	117	71	443	210	131
mmu-mir-712-5p	123	97	32	442	225	119
mmu-mir-3082-3p	309	130	119	384	442	278
mmu-mir-1194-3p	280	154	100	439	340	219
mmu-mir-669i-5p	26	8	3	40	438	14
mmu-mir-34b-5p	160	52	61	438	215	52
mmu-mir-130a-5p	282	306	78	410	436	291
mmu-mir-344i-3p	100	58	25	433	112	167
mmu-mir-16-1-5p	413	294	132	427	380	153
mmu-mir-145a-5p	409	183	167	371	415	355
mmu-let-7i-3p	305	260	114	414	306	154
mmu-mir-505-3p	183	99	77	409	177	81
mmu-mir-664-3p	238	213	77	408	231	164
mmu-mir-542-5p	53	36	22	71	402	55
mmu-mir-592-5p	293	106	246	394	213	32
mmu-mir-466f-2-3p	10	7	6	42	389	8
mmu-mir-1933-3p	231	133	68	386	285	230
mmu-mir-301b-5p	69	45	39	384	190	111
mmu-mir-363-3p	155	72	51	189	380	20
mmu-mir-1965-3p	187	86	65	305	368	195
mmu-mir-1940-5p	365	241	109	258	298	235
mmu-mir-574-5p	127	91	56	364	181	144
mmu-mir-1945-3p	209	136	60	362	225	190
mmu-mir-450a-1-3p	92	66	53	257	361	61
mmu-mir-744-3p	184	132	74	360	273	142
mmu-mir-33-5p	171	113	70	358	255	160
mmu-mir-702-3p	119	82	38	343	262	114
mmu-mir-200a-3p	56	2	2	16	341	1
mmu-mir-3099-3p	337	186	89	244	149	210
mmu-mir-378a-5p	308	285	145	335	218	110
mmu-mir-29c-3p	205	234	78	326	257	88
mmu-mir-200c-3p	69	26	20	109	323	34
mmu-mir-329-5p	319	90	237	99	172	56
mmu-mir-669e-3p	16	13	5	33	316	6
mmu-mir-1983-5p	116	168	36	315	164	75
mmu-mir-466m-3p	10	9	4	16	309	8
mmu-mir-3064-5p	144	121	53	306	231	160
